0.0009241278091623336, 0.560681179378168, 0.0016867784653057142, -0.010771142257502725, -0.000703602068873932, 0.003119208256310886, 0.001049307979935267, 0.002259191515194496, 0.00017528459865089193, -0.000827136473414954, -0.0011574910002062346, -0.0011105740104331702, 0.00016537337748398872, 0.0004046365921634871, 0.00027273368080745354, 0.00023922618502535622, -3.9497829509174374e-05, -3.586607177116698e-05, -5.8882277647554405e-05, -4.8287333501532956e-05; 0.0, -0.06390774105035414, -0.011616577115501441, 0.001129948772866619, -0.004690001545389054, -0.0013587657203946763, 0.0011147506937834487, -1.2586537598733633e-05, -0.0003634605226967928, 0.0009916383873918837, -0.0011455544006996742, -0.00022284719511754138, 0.00024325984091233194, -0.00031821433252948484, 0.00024155869371233249, 6.280286792719158e-05, 1.451184491272303e-06, 4.267015933341549e-05, -5.485600931445448e-05, -1.8517384293480524e-05; -0.0037270837139846734, 0.06422655400749579, -0.015896060172926992, 0.0020185339473088692, 0.003197233439406651, 0.0005695338959205924, 0.0005206876127583942, -0.0006739578055789993, 0.0019831198592334164, -5.576749491322949e-05, 0.00014364200501368804, 0.0004998742162921108, -0.0006404594152672376, 0.0001077770306049756, -9.955081537469789e-05, -5.7956245270581486e-05, 0.00013741966206891787, 2.544188732534234e-05, 4.8596206530310805e-05, 1.9690628446661684e-05; 0.0, 0.5615594937005447, -0.0026713339868707172, 0.01204727460044654, 0.0015959235327121107, 0.0031834736681939646, 0.0004605457746660154, -0.001021163153997358, -0.0013875538859805146, -0.0016138395810587158, -0.0006366508936945897, 0.00024119123070920367, 0.0005647550787844035, 0.0006528224690877422, 0.00011640404750982251, 2.9631349077855595e-05, -0.00014545505283323308, -0.00012914356121817216, -4.186234059773816e-05, -3.230525079727112e-05
0.0009240016205818976, 0.5603860073761872, 0.001401399032544579, -0.008670044340007238, -0.00047218316355241384, 0.005042934623985344, 0.0012517433076212287, 0.0022324610582535468, 0.00012793448550377522, -0.0009508856847348106, -0.0011712823208657299, -0.0011074635247028358, 0.00017372281088883068, 0.0004170798132566189, 0.00027241904312150537, 0.0002388145362532813, -3.9121450250998906e-05, -3.572820823100786e-05, -5.618615527590881e-05, -4.762739850002466e-05; 0.0, -0.06387255182158734, -0.010565990831722607, 0.0008086511832398571, -0.0033677439754390684, -0.00213025398825625, 0.0013592033384544604, 4.4601283453465535e-05, -0.0004439199691045518, 0.0010246501442369954, -0.0011426244753360605, -0.00023012170304095424, 0.00024615129246202943, -0.0003217515158090443, 0.00024139018031679477, 6.22559565134149e-05, 2.2358442908900163e-06, 4.124005385344432e-05, -5.212231876767152e-05, -1.7536707831831447e-05; -0.0037265734033176375, 0.06420882761013674, -0.014615963464209122, 0.0016677706900891196, 0.002130576948960249, 0.0014123939996230758, 0.0005303250498220335, -0.0007245681542930843, 0.0020318590649613206, -0.00010427215647601068, 0.0001636345996590503, 0.0005066933135115757, -0.000645007984306257, 0.00011615633153156247, -9.68812978020039e-05, -5.744880840690387e-05, 0.00013611804630192032, 2.5452271364029605e-05, 5.1858246408189226e-05, 1.858326036672377e-05; 0.0, 0.5613760585166712, -0.0024975434229190163, 0.009848917106793623, 0.0014676912515371979, 0.005247674018541803, 0.0006795614105341564, -0.0009294860214929309, -0.0014156040347267234, -0.0016788349281521395, -0.0006645152146891931, 0.00022166491822942075, 0.0005660249224391994, 0.0006657798084872751, 0.00011669361937488809, 3.0221478828233598e-05, -0.0001445571444258201, -0.00012944420732929592, -4.595942703747902e-05, -3.659412102933784e-05
0.0009240408373490744, 0.5601178857580599, 0.0010207317774466502, -0.006970637989403176, -0.0003179068140971735, 0.006537690018708917, 0.0013729336370666245, 0.002225777644549301, 0.00014966774365549951, -0.0009595157490368634, -0.0011684474363205274, -0.0010927035677660625, 0.00016035876249315923, 0.0004159201355877403, 0.0002703708492631516, 0.000235489380004182, -3.1858099613255353e-05, -3.145847522377735e-05, -5.680507944069846e-05, -4.884576443520008e-05; 0.0, -0.06383270686663423, -0.00895540631457179, 0.0005695694410177087, -0.0015323041027767693, -0.0028014456774338938, 0.0015819968867816477, 5.0950748341155616e-05, -0.00042214839186770946, 0.0010206660122758283, -0.001140197130523033, -0.00023079923248044148, 0.00022628137812086995, -0.00032360962673330505, 0.00024010619478753294, 6.117988389899988e-05, 9.533321799537665e-06, 3.920351788238079e-05, -5.246313174503446e-05, -1.7118004587696286e-05; -0.003726725717720342, 0.06420263516346585, -0.012800730965019394, 0.0013783439446996993, 0.0004525953847964873, 0.0020353443133219163, 0.0005854517244425854, -0.0007376174507592986, 0.0019972792467365485, -9.751538345820832e-05, 0.0001557081586148673, 0.000508048348399056, -0.0006299340864073729, 0.00011762966187953512, -8.818083860938944e-05, -5.7227853941417035e-05, 0.0001300343906429446, 2.649856871743316e-05, 4.880656373368272e-05, 1.7733888072433267e-05; 0.0, 0.5611971015904631, -0.002210382081146495, 0.008058695341094067, 0.0014516212551372585, 0.006966489768399644, 0.0007690687498188733, -0.0009331508432402155, -0.0014070530677754885, -0.001656570080634237, -0.0006551079369756475, 0.0002327435930574295, 0.0005526332928967859, 0.0006652976341589514, 0.0001093736752617353, 2.3300683744619897e-05, -0.00013883124004448338, -0.0001274268929581045, -4.1668712069080554e-05, -3.338865129503117e-05
0.0009248547744587629, 0.5599676343426568, 0.0005305417919324485, -0.006705633233507668, -0.0002638392856759581, 0.006659869019593371, 0.0013482060856217395, 0.002119767554651837, 0.00015596621420476328, -0.0010320443715535412, -0.0011750915506262148, -0.0010597855354683165, 0.0001935690682751654, 0.0004555051858746583, 0.00027905760806585286, 0.00022084655226816956, -5.311615688976318e-05, -5.4107743500094684e-05, -5.8356573645729166e-05, -4.670687621211041e-05; 0.0, -0.06383542543389646, -0.0066619358259813214, 0.0005176970841096248, 0.0008647015841899935, -0.0029761291298040873, 0.00159607037525434, 5.944096772515321e-05, -0.0003508135411717787, 0.0010477242291395353, -0.0011102275935106173, -0.00025592307770800547, 0.00022784835391669711, -0.0003431553651814236, 0.00022768193742249388, 7.491629660550476e-05, 4.611487743695756e-06, 4.3830549755539613e-05, -5.130960881840187e-05, -1.737033828680114e-05; -0.003729994160908397, 0.06418141663107323, -0.010366787808245846, 0.0013349693541133388, -0.0020240891532623327, 0.002091928546378029, 0.0006246979670391371, -0.000711351710933987, 0.0019271349535307937, -0.0001379342873312169, 0.00015848011649117222, 0.0005022726503754743, -0.0006356245668773494, 0.00015118335601296308, -8.815149700279573e-05, -5.997604927705377e-05, 0.00012526961620897866, 1.5743509702299964e-05, 5.365852786806242e-05, 1.5813518811906626e-05; 0.0, 0.5611079513572448, -0.0017712947939264863, 0.007696061378181759, 0.0015660080404739905, 0.007365661783019746, 0.0007337970116374533, -0.0009139081536016456, -0.0013754289282774828, -0.0016935915647988736, -0.000689601867527023, 0.00019093079106106644, 0.0005501245314775182, 0.0006980764933317903, 0.00013889691400839505, 4.039832761828381e-05, -0.0001387049814319762, -0.00013331318821274018, -6.048130890586483e-05, -5.212186516869138e-05
0.0009256864849814539, 0.5599819044085564, 0.0001954047327597123, -0.006811831161902067, -0.00020648824836197452, 0.006436255336764118, 0.0013985260794103294, 0.0022703384034701373, 0.00029514476399612445, -0.0008308880411416241, -0.0011940538522778321, -0.0011560136826693015, -4.276766957280523e-05, 0.0002762806641262156, 0.00027905922999314916, 0.00030786163784684087, 0.00015291850036230605, 0.00014134051785665252, -6.915223211713284e-06, -1.4640417111976725e-05; 0.0, -0.06363363334092509, -0.005154771388767079, 0.000706477030095425, 0.0024568336896194708, -0.0029310389025674908, 0.0016917811020742616, 6.606549531451596e-05, -0.00018608096571561694, 0.001053268379035847, -0.0012357115835935895, -0.00018241308518554547, 8.609093010573046e-05, -0.0003203065011790791, 0.00030884803667306836, 3.3032859513931835e-06, 0.00011697524801679303, 1.3317185155889245e-05, -3.859828285171177e-05, -1.6497594713001913e-05; -0.00373333514013958, 0.06438511731488418, -0.008771756805804349, 0.0011598865868809197, -0.0036195875874772874, 0.0020417885724173398, 0.0007169442191926085, -0.0007427060877944578, 0.0018148701900450586, -5.373146176367117e-05, 7.1127233579412345e-06, 0.0005249243609473369, -0.0005265154358215017, 2.2744387405104054e-05, -7.72826800854254e-06, -4.9986938132444014e-05, 0.0001134766460021006, 8.522585374951569e-05, 1.4754047729688287e-06, 2.322588634821642e-05; 0.0, 0.561046987907378, -0.001478478500602312, 0.007943269527618674, 0.0015924460891490323, 0.007198793809862923, 0.0007250216736625739, -0.0010608319830277037, -0.001387798449599383, -0.0016116021081321434, -0.0005069353106734099, 0.00044668708914098846, 0.000517249202598324, 0.0005669404410504271, -6.24762046930523e-05, -0.0001281244245874188, -0.00011304746591163348, -0.00010464615607177923, 7.780505896418507e-05, 8.552689150044247e-05
0.0009258089449519832, 0.5599073541151338, 0.0001749522476095507, -0.0068804678291947, -0.00019430821937548384, 0.006434583452107625, 0.0013996757663535006, 0.002171107052149736, 0.00023587052445819815, -0.0009431678663831908, -0.0011750695622735304, -0.0010535430193288693, 0.0001503809707191956, 0.00043259809773967255, 0.00027259920040037484, 0.0001971011632689183, -8.024437653317364e-05, -9.876770218007449e-05, -9.90612129749585e-05, -8.751232417125422e-05; 0.0, -0.06378505101933299, -0.005048069063213065, 0.0005682908583625552, 0.002559624460321487, -0.002964872045228755, 0.001651668567445544, 5.3143067834109175e-05, -0.00022087431861420566, 0.0010611074985005964, -0.0011279981959810906, -0.00023478941468167724, 0.00018386134913430478, -0.0003452893441623113, 0.00021319171814101326, 7.724349882910466e-05, -4.774159933153888e-06, 5.18787811966984e-05, -6.38016302803672e-05, -1.6662531676401477e-05; -0.003733828269624379, 0.06422741945660812, -0.008659783915938057, 0.0012913011725981017, -0.003743346492006178, 0.002024188938769662, 0.0007003985351018476, -0.00071028996953321, 0.0018352246389894392, -0.00010065172937983654, 0.00010863981391017706, 0.0004974166318687313, -0.0006054435939665243, 0.00014088739335873962, -8.654591348204903e-05, -5.967171683857113e-05, 0.00011403133731414585, 8.16568924864945e-07, 5.054577512378963e-05, 1.745671438702647e-05; 0.0, 0.5610754057198287, -0.0014575878696196677, 0.007842285141017712, 0.0015933644651963002, 0.007234865541665068, 0.0007337852158894512, -0.0010141950571151109, -0.0013527944619364269, -0.0016500693256506131, -0.0006284846798775741, 0.00025950415415892437, 0.0005159253282276533, 0.0006828593439843294, 0.00014120900525846225, 5.040363297743735e-05, -0.00012383455788087498, -0.00012890894789985326, -6.94690043370907e-05, -6.20062503843774e-05
0.0009260944235931372, 0.5599006691564067, 0.0001352656778649227, -0.006845229617270161, -0.00020014746700661978, 0.006449091428661821, 0.0013773308722704516, 0.002099629988212353, 0.00020305786423723668, -0.0010189702072428792, -0.0011748946460801233, -0.0010579114332902536, 0.00016200534732626533, 0.0004468301994761067, 0.0002972103342199282, 0.00026696210874135374, 3.9300008188841525e-05, 5.458905275871208e-05, -4.521164244906163e-06, 1.1440308561925238e-05; 0.0, -0.06378617797232146, -0.004863263200016157, 0.0005594694305015337, 0.0027486369582284285, -0.0029805101571246492, 0.0016273516644041666, 6.056783773500821e-05, -0.00024081093355397113, 0.0010640455332233943, -0.0011129741171116952, -0.000256803200617347, 0.00019881655359771426, -0.00035953577794484696, 0.0002534549686781342, 5.864534369001242e-05, 5.984657626500765e-05, 3.89942455337381e-05, -3.635791625001721e-05, -2.074050575118411e-05; -0.00373497700623484, 0.06422344434823142, -0.008464883800058864, 0.0012916054417961848, -0.003948553508858199, 0.0020296197186860233, 0.0006840866691092736, -0.000699625894180733, 0.0018421511304648093, -0.00014234279580642702, 0.0001293166490346158, 0.0005049992844851491, -0.0006119084601404202, 0.00014673102383707835, -5.785888864309922e-05, -6.894373681574642e-05, 0.0001259391253887962, 4.67508437041009e-05, 3.306336893650862e-05, 1.9430737866538918e-05; 0.0, 0.5610508637703101, -0.0014201791979995871, 0.007822749664806733, 0.0016114035198353189, 0.0072699455672895, 0.000730774204386174, -0.0009638890811127915, -0.0013466034012653639, -0.0016870966242937043, -0.0006695716094600861, 0.000218932883641515, 0.0005492285107837035, 0.000693151820203418, 9.13014848221615e-05, -2.52027212609158e-05, -0.00015346610863190645, -0.00014661975306877367, 5.439935136095093e-07, 1.4774029289613916e-05
0.0009262732462903412, 0.5598872776559839, 0.00011276356380908165, -0.006842338169661321, -0.00020003409570279324, 0.006454613497400232, 0.001374963736204427, 0.0021012754066192163, 0.00020873648605794994, -0.0010087369762823905, -0.0011796433707876172, -0.0010594574609539159, 0.000159061615817387, 0.0004399667546898536, 0.0002766462078118163, 0.0002061906914677479, -6.520779924277498e-05, -9.223614759917164e-05, -8.476016977301079e-05, -8.06710313348187e-05; 0.0, -0.06378439725368136, -0.0047612768455123, 0.0005605210981902354, 0.0028544995937726573, -0.0029857964891759252, 0.0016274625788097097, 6.050546360443666e-05, -0.00023428517584365893, 0.001068678146305103, -0.0011191808678902501, -0.00024991067890081414, 0.00019077652882047437, -0.00035240666888155197, 0.00022425465431052052, 7.461635680736635e-05, 4.44196310899434e-06, 4.702647130735445e-05, -5.839629184546675e-05, -1.8678436661701805e-05; -0.0037356972105768442, 0.0642242171375179, -0.008356777017845386, 0.0012869263016834008, -0.004060217976106241, 0.002032759767756442, 0.0006873008140205587, -0.0007001060844534492, 0.0018394960717970374, -0.0001356979045427432, 0.00012027374289764827, 0.0005041411696006587, -0.0006092485126807784, 0.00014594980991245195, -7.977069818642888e-05, -6.043003080386012e-05, 0.00010844042025785476, 3.69004995828934e-06, 5.250499373882388e-05, 1.5792870801103887e-05; 0.0, 0.5610519290903048, -0.001399524032946125, 0.007804930302737793, 0.0016171282466366614, 0.007281463695638065, 0.0007272278882753478, -0.0009726165977457401, -0.001349316135773254, -0.0016883956635228804, -0.00065772927438569, 0.0002344157536219853, 0.0005338283394949576, 0.0006900381792911447, 0.00012758247201720242, 3.866205514011278e-05, -0.00011648043512293284, -0.00011580009682111038, -7.459391266607189e-05, -7.454566606332201e-05
0.0009265448702431623, 0.5598804587355903, 8.119598906725839e-05, -0.006830833046663942, -0.00019881248875655886, 0.006460463210296007, 0.0013727511257520036, 0.002098054324691829, 0.0002117659034000029, -0.0010065731716010463, -0.0011783915814962726, -0.0010549795460239651, 0.00015738251926128086, 0.00044292335442658396, 0.0002907064587428118, 0.0002488760416093206, 1.402553879948857e-05, 3.581910712424762e-05, -2.0022590148138703e-05, 5.938136997495339e-06; 0.0, -0.06378282729304909, -0.004618467091841267, 0.0005592073603513099, 0.0030041450632554262, -0.002992583783147321, 0.0016284242115636274, 6.036310490893552e-05, -0.00022689069104541508, 0.0010696781646848473, -0.0011180353089347641, -0.0002504519824383211, 0.00019023468127216085, -0.00035559074003984915, 0.00023853549393977366, 6.397731325030367e-05, 4.619327455710529e-05, 4.633150001691716e-05, -4.116815880154584e-05, -1.9968978074415813e-05; -0.0037367904755824274, 0.06422480381401365, -0.008205256832699574, 0.0012837912292098998, -0.004215659170984413, 0.0020354940281504617, 0.000690829867742459, -0.0006991272509035417, 0.0018347030593785776, -0.00013475696800552763, 0.00011952672397226072, 0.0005025434784400832, -0.0006074549139732625, 0.00014582441715167447, -6.59514118603849e-05, -6.731392841808952e-05, 0.00012823162520715663, 3.91013689161717e-05, 3.418340572668982e-05, 1.9499640164186896e-05; 0.0, 0.5610445020639305, -0.001370389503890474, 0.007793029230308048, 0.0016235702793749897, 0.007293471494715064, 0.0007235740786646827, -0.0009777582236802096, -0.0013478325337721497, -0.0016869505026799786, -0.0006565617771024234, 0.000233301106463155, 0.0005341076405914824, 0.0006892112225795918, 0.00010859472994860529, -6.7524265989682926e-06, -0.000156676562640805, -0.00016188256332904603, -7.624767520643549e-06, 1.72280965528916e-05
0.0009267485635939294, 0.5598733806045814, 6.189507697164012e-05, -0.0068280975204326735, -0.00019753408729428145, 0.0064618400156841735, 0.0013723766842600234, 0.0020953586487388273, 0.00021341762343432668, -0.0010070707299528474, -0.001179036356457684, -0.0010562264004490187, 0.00015751355018303866, 0.00044126455347000374, 0.0002806945034164773, 0.00021335397000390343, -5.4333976615458096e-05, -8.534929866589513e-05, -7.962011587172943e-05, -8.150306644342316e-05; 0.0, -0.06378115102471194, -0.0045316243623019165, 0.000559532604031137, 0.0030954816066697463, -0.002996093902135377, 0.0016293376539477087, 6.057509692110376e-05, -0.00022217559118704107, 0.0010706187133561603, -0.001117962376896534, -0.00025062134808444004, 0.0001889008232978606, -0.0003547440369545781, 0.00022858741562924677, 7.296330201029122e-05, 1.0976848699924703e-05, 4.375656157645414e-05, -5.680244542491868e-05, -1.8548088451667034e-05; -0.0037376000886953247, 0.06422554126475853, -0.008113004522681789, 0.001281175921247121, -0.0043102381674329955, 0.0020364698792762546, 0.000693435925187076, -0.0006984693167361108, 0.0018312747740002494, -0.000135639963267123, 0.00011799285317484667, 0.0005028949297636318, -0.0006075344390611202, 0.00014718382289759518, -7.491288503954178e-05, -6.164330982079567e-05, 0.00010707012626586346, 6.507648017068768e-06, 5.038914011831975e-05, 1.6124326253658844e-05; 0.0, 0.5610405478656972, -0.00135264618368893, 0.007786747777082347, 0.0016269710251739851, 0.0072986759798067576, 0.0007220529930480849, -0.0009799758722750524, -0.0013467697415292966, -0.0016878440589729962, -0.000656536873859256, 0.00023472084125573793, 0.0005335495044706958, 0.0006915034885489658, 0.0001225085257378433, 3.0158393605185562e-05, -0.00011587154946945164, -0.00010798773245046471, -6.802094383165651e-05, -7.406338144490211e-05
